file_name,url,inference_transcript,audio_duration,original_id,strata,age_group,duration_category,content_type,path,inference_checkpoint-10000,inference_checkpoint-19000,inference_checkpoint-5000,uni,base_cer,cer_5000,cer_10000,cer_19000,char_len,char_len_bin
STT_GR_0012_0154_771588_to_772388,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0154_771588_to_772388.wav,བརྩེ་བ་དེ་བདག་པོ་རྒྱག ,0.8,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0154_771588_to_772388.wav,བརྩེ་བ་དེ་བདག་པོ་རྒྱག,བརྩེ་བ་དེ་བདག་པོ་རྒྱག,རྩེ་བ་དེ་དྲག་པོ་ྒྱང་།,བརྩེ་བ་དེ་བདག་པོ་རྒྱག ,0.0,0.3333333333333333,0.0,0.0,22,"(20.0, 30.0]"
STT_GR_0012_0136_729988_to_730500,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0136_729988_to_730500.wav,ཤ་པ།  ,0.512,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0136_729988_to_730500.wav,ཆར་པ།,ཆར་པ།,ཆར་པ།,ཤ་པ།  ,0.0,0.5,0.5,0.5,6,"(0.0, 10.0]"
STT_GR_0012_0251_1183668_to_1185268,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0251_1183668_to_1185268.wav,ཁོ་ཡག་པོ་མ་རེད་དེ་ཐའ་མར་དུ།  ,1.6,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0251_1183668_to_1185268.wav,ཁོ་གཡག་པོ་མ་རེད་དེར་ཚང་མོ་འདུག་,ཁོ་གཡག་པོ་མ་རེད་ཟེར་ཐལ་མོ་འདུས་ས,ཁོ་ཉ་སཔོད་མ་རེད་ཟེར་ཐང་མོ་འདུས།,ཁོ་ཡག་པོ་མ་རེད་རྫས་ཐལ་མོ་བརྡེབ་པ།,0.36363636363636365,0.45454545454545453,0.3939393939393939,0.3333333333333333,33,"(30.0, 40.0]"
STT_GR_0012_0035_274140_to_274683,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0035_274140_to_274683.wav,དེ་ཐམས་ཅད།  ,0.543,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0035_274140_to_274683.wav,དེ་ཐམས་ཅད།,དེ་ཐམས་ཅད།,དེ་ཐམས་ཅད།,དེ་ཐམས་ཅད།  ,0.0,0.0,0.0,0.0,12,"(10.0, 20.0]"
STT_GR_0012_0060_321300_to_322580,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0060_321300_to_322580.wav,ཚར་ལམ་སང་སོམ་མི་འདྲ་དེ།  ,1.28,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0060_321300_to_322580.wav,ཕྱི་ནང་གསང་གོི་གསུམ་མཎ་ྜལ་འདེ།,ཕྱི་ནང་གསང་གྱི་གསུམ་མཎྜལ་དེ།,ཚ་ནང་བསམ་གསུམ་མཎྜ་ཟེར།,ཕྱི་ནང་གསང་གསུམ་མི་འདྲ་དེ་,0.34615384615384615,0.5,0.38461538461538464,0.38461538461538464,26,"(20.0, 30.0]"
STT_GR_0012_0017_144300_to_148400,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0017_144300_to_148400.wav,ཨོ། སྟོང་བར་མེི་འཇུག་རྟེན་དེ་གཅིག་ནས་རྩིས་པ་རྡོ་ཕྲག་གཅིག་ལ།  ,4.1,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0017_144300_to_148400.wav,ཨོ། སྟོང་བར་མའི་འཇིག་རྟེན་དེ་གཅིག་ནས་རྩིས་པའི་སྟོང་ཕྲག་གཅིག་ལ།,ཨོ། སྟོང་བར་མའི་འཇིག་རྟེན་དེ་གཅིག་ནས་རྩིས་པའི་སྟོང་ཕྲག་གཅིག་ལ།,ཨོ་སྟོང་བར་མའི་འཇིག་རྟེན་དེ།་གཅིག་ཟེ་བྱས་པ་གྟོང་ཕྲག་གཅིག་ལ།,ཨོ། སྟོང་བར་མའི་འཇིག་རྟེན་དེ་གཅིག་ཏུ་བརྩིས་པའི་སྟོང་ཕྲག་གཅིག་ལ།  ,0.15873015873015872,0.1746031746031746,0.047619047619047616,0.047619047619047616,65,"(60.0, 70.0]"
STT_GR_0012_0129_712867_to_714692,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0129_712867_to_714692.wav,ཕན་ཚུན་གཉིས་པ་དམྱལ་བ་ན་ཞིག་ཡོང་གི་ཡོད་རེད།  ,1.825,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0129_712867_to_714692.wav,ཕན་ཚུན་གཉིས་ཀ་དམྱལ་བ་ནང་བཞིན་ཡོང་གི་ཡོད་རེད།,ཕན་ཚུན་གཉིས་ཀ་དམྱལ་བ་ནང་བཞིན་ཡོང་གི་ཡོད་རེད།,ཕན་ཐུན་གཉིས་ཀ་དམྱལ་བ་ནང་བཞིན་ཡོང་གི་ཡོད་རེད།,ཕན་ཚུན་གཉིས་པ་དམྱལ་བ་ནང་བཞིན་ཡོང་གི་ཡོད་རེད།  ,0.06818181818181818,0.045454545454545456,0.022727272727272728,0.022727272727272728,46,"(40.0, 50.0]"
STT_GR_0012_0016_140700_to_143900,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0016_140700_to_143900.wav,སྟོང་ཕྲག་ྱོད་ལ་སྟོང་ཉིད་པ་བར་མེད་འཇིག་རྟེན་སམ།  ,3.2,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0016_140700_to_143900.wav,སྟོང་ཕྲག་གཅིག་ལ་སྟོང་གཉིས་པ་བར་མའི་འཇིག་རྟེན།,སྟོང་ཕྲག་གཅིག་ལ་སྟོང་གཉིས་པ་བར་མའི་འཇིག་རྟེན།,སྟོན་ཕྲག་གཅིག་ལ། སྟོང་གཉིས་པ་བར་མི་འཇིག་རྟེན་གསུངས།,སྟོང་ཕྲག་གཅིག་ལ། སྟོང་གཉིས་པ་བར་མའི་འཇིག་རྟེན་ཟེར།  ,0.26,0.14,0.12,0.12,52,"(50.0, 60.0]"
STT_GR_0012_0315_1494432_to_1496224,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0315_1494432_to_1496224.wav,དུས་གསོམ་འདེ་ཆི་དགུ་དུན་བླ་མ་ལ་ྱས།  ,1.792,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0315_1494432_to_1496224.wav,དུས་གསུམ་དེ་གཞེགས་གོམ་རྒྱུ་བླ་མ་ལ་ཟེར།,དུས་གསུམ་དེ་གཤེགས་ཀན་འདུས་ླ་བླ་མ་ལ་ཟེར།,དུས་སུམ་འདི་གྱི་ཀུན་དུས་བླ་མ་ལ,དུས་གསུམ་བདེར་གཤེགས་ཀུན་གྱི་བླ་མ་ལ་ཟེར།,0.41025641025641024,0.41025641025641024,0.23076923076923078,0.23076923076923078,39,"(30.0, 40.0]"
STT_GR_0012_0217_1026487_to_1027319,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0217_1026487_to_1027319.wav,མར་གཅིག་ལ་པུ་གུ་ ,0.832,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0217_1026487_to_1027319.wav,མ་གཅིག་ལ་པུ་གུ་,མ་གཅིག་ལ་པུ་གུ,མ་གཅིག་ལ་པོ་གོ།,མ་གཅིག་ལ་ཕྲུ་གུ་ ,0.1875,0.3125,0.125,0.1875,17,"(10.0, 20.0]"
STT_GR_0012_0206_991092_to_993555,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0206_991092_to_993555.wav,བདེ་བ་སྐྱོང་རྫད་རུག་གི་ལོ་རྒྱུ་སྐྱོང་རྫད་ཡོད་པ་ན་སྔུན་རྒྱ།  ,2.463,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0206_991092_to_993555.wav,བདེ་བ་ཅུང་ཟད་ཀྱི་ཀུན་སློང་། སྐྱོན་ཅུང་ཟད་ཡོད་པ་རྣམས་སྔོན་བྱས་,བདེ་བ་ཅུང་ཟད་ཀྱི་ཀུན་སློང་། སྐྱོན་ཅུང་ཟད་ཡོད་པ་རྣམས་སྔོན་བྱས་,བདེ་བ་བཅུང་ཚད་རུད་འི་ལོངས་སྤྱོད་བཅོམ་ཟད་ཡོན་པ་དང་སྔོན་གྱི་,བདེ་བ་ཅུང་ཟད། ལོངས་སྤྱོད་ཅུང་ཟད་ཡོད་པ་རྣམས་སྔོན་གྱི་,0.6730769230769231,0.34615384615384615,0.34615384615384615,0.34615384615384615,52,"(50.0, 60.0]"
STT_GR_0012_0277_1264192_to_1265568,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0277_1264192_to_1265568.wav,གསར་གྟོང་ྔོ་ངང་ནིན།  ,1.376,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0277_1264192_to_1265568.wav,གསལ་སྟོང་གི་ངང་ནས་,གསལ་སྟོང་གི་ངང་ནས།,གསལ་སྟོང་གི་རང་ལས་,གསལ་སྟོང་གི་ངང་ལས་,0.4444444444444444,0.05555555555555555,0.05555555555555555,0.1111111111111111,18,"(10.0, 20.0]"
STT_GR_0012_0176_845952_to_846976,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0176_845952_to_846976.wav,དུང་ཆེན་པོ་ཡོད་རེད།  ,1.024,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0176_845952_to_846976.wav,དོན་ཆེན་པོ་ཡོད་རེད།,དོན་ཆེན་པོ་ཡོད་རེད།,དོན་ཆེན་པོ་ཡོད་རེད།,དོན་ཆེན་པོ་ཡོད་རེད།  ,0.10526315789473684,0.0,0.0,0.0,21,"(20.0, 30.0]"
STT_GR_0012_0087_399592_to_400775,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0087_399592_to_400775.wav,འཇག་རྟེན་ཙུམ་དགུན་གིས་གསུང་ནས།  ,1.183,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0087_399592_to_400775.wav,འཇིག་རྟེན་གསུམ་མགོན་གྱིས་གསུང་ནས་,འཇིག་རྟེན་གསུམ་མགོན་གྱིས་གསུང་ནས་,འཇིག་རྟེན་གསུམ་མགོན་གྱི་གསུང་ལས།,འཇིག་རྟེན་གསུམ་མགོན་གི་གསུང་ལས།  ,0.22580645161290322,0.03225806451612903,0.12903225806451613,0.12903225806451613,33,"(30.0, 40.0]"
STT_GR_0012_0256_1193908_to_1194580,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0256_1193908_to_1194580.wav,ཨུ་པ་གི་ ,0.672,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0256_1193908_to_1194580.wav,ཨོ་པས་,འོ་པས་,འོད་པས་།,དབུས་པ་གིས་,0.36363636363636365,0.7272727272727273,0.6363636363636364,0.6363636363636364,11,"(10.0, 20.0]"
STT_GR_0012_0313_1487808_to_1492735,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0313_1487808_to_1492735.wav,སྐྱབས་ངས་དེ་ལ་སཀུན་གྲངས་ཐེ་འོང་ྩ་བའི་ཤབ་འཆུག་ན། འདི་ལ་སངས་རྒྱས་ཐམས་ཅད་སདོད་ཀི་ཡོད་བསམ་ན་ཡིད་ཆེས་བྱས་ནས།  ,4.927,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0313_1487808_to_1492735.wav,ྐྱབས་ལེན་དེ་ལ་སྐུ་འདྲ་མཐེ་བོང་བཙམ་ནས་སྐྱབས་འཆོག། འདི་ལ་སངས་རྒྱས་ཐམས་ཅད་འདུས་ཀྱི་ཡོད་བསམ་ནས་ཡིད་ཆེས་བྱས་ནས་,སྐྱབས་གནན་དེ་ལ་སྐུ་འདྲ་མཐེ་བོང་ཙམ་ཡང་སྐྱབས་འགྲོ། འདི་ལ་སངས་རྒྱས་ཐམས་ཅད་འདུས་ཀྱི་ཡོད་བསམས་ནས་ཡིད་ཆེས་བྱས་ནས་,སྐྱབས་གལན་དེར་ལ་སྐུ་དྲ་ཐེ་འོང་་བཤམ་མཚོ་ར། འདི་ལ་སངས་རྒྱས་ཐམས་ཅད་འདུ་གི་ཡོད་བསམས་ནས་ཡིད་ཆེས་བྱས་ནས།,སྐྱབས་གནས་དེ་ལ་སྐུ་འདྲ་མཐེ་བོང་ཙམ་བཤམས་རྒྱུ་ཡོད་ན། འདི་ལ་སངས་རྒྱས་ཐམས་ཅད་འདུས་ཀི་ཡོད་བསམས་ཡིད་ཆེས་བྱེད་ནས།  ,0.2830188679245283,0.22641509433962265,0.2169811320754717,0.19811320754716982,108,"(100.0, 110.0]"
STT_GR_0012_0076_364372_to_365075,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0076_364372_to_365075.wav,དེ་ལ་དེ།  ,0.703,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0076_364372_to_365075.wav,དེ་ལ་དེ་,དེ་ལ་བརྟེན་,དེ་ལ་དེ།,དེ་ལ་དེ་གིས།  ,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5833333333333334,14,"(10.0, 20.0]"
STT_GR_0012_0132_721636_to_722339,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0012_0132_721636_to_722339.wav,ག་རེ་ཆེན་པོ་རེད།  ,0.703,STT_GR_0012,70-80__long__Teaching,70-80,long,Teaching,./downloads/STT_GR_0012_0132_721636_to_722339.wav,གལ་ཆེན་པོ་རེད།,གལ་ཆེན་པོ་རེད།,གལ་ཆེན་པོ་རེད།,གལ་ཆེན་པོ་རེད།  ,0.21428571428571427,0.0,0.0,0.0,16,"(10.0, 20.0]"
