original_id,total_segments,total_duration,total_chars,avg_chars_per_segment
STT_GR_0001,14,119.80000000000001,1697,121.21428571428571
STT_GR_0033,73,121.215,2332,31.945205479452056
STT_GR_0032,14,47.812,520,37.142857142857146
STT_GR_0018,22,70.42099999999999,1265,57.5
STT_GR_0004,17,74.17,1256,73.88235294117646
STT_GR_0016,6,37.527,536,89.33333333333333
STT_GR_0010,13,57.25699999999999,967,74.38461538461539
STT_GR_0021,14,50.808,841,60.07142857142857
STT_GR_0002,12,20.360000000000003,389,32.416666666666664
STT_GR_0012,19,30.302999999999997,602,31.68421052631579
STT_GR_0003,13,40.673,712,54.76923076923077
STT_GR_0029,16,28.66,514,32.125
STT_GR_0023,8,35.411,531,66.375
STT_GR_0014,5,26.907999999999998,512,102.4
STT_GR_0020,7,64.1,917,131.0
STT_GR_0025,13,35.592999999999996,666,51.23076923076923
STT_GR_0031,8,47.407,832,104.0
STT_GR_0013,5,15.9,312,62.4
STT_GR_0017,19,83.24600000000001,1448,76.21052631578948
STT_GR_0008,15,25.010000000000005,459,30.6
STT_GR_0015,16,80.859,1418,88.625
STT_GR_0005,7,56.49999999999999,880,125.71428571428571
STT_GR_0007,12,65.136,1228,102.33333333333333
STT_GR_0006,11,39.97599999999999,720,65.45454545454545
STT_GR_0009,5,16.392,308,61.6
STT_GR_0019,56,156.91200000000003,2830,50.535714285714285
STT_GR_0024,27,170.317,2911,107.81481481481481
STT_GR_0011,25,178.609,2910,116.4
STT_GR_0022,78,390.578,6566,84.17948717948718
STT_GR_0028,43,315.06100000000004,5251,122.11627906976744
STT_GR_0030,59,170.20700000000002,3179,53.88135593220339
STT_GR_0026,66,458.11999999999995,8017,121.46969696969697
STT_GR_0027,67,538.7,8603,128.40298507462686
STT_GR_0037,20,31.165000000000003,548,27.4
STT_GR_0034,31,58.26999999999999,1011,32.61290322580645
STT_GR_0038,26,47.879,815,31.346153846153847
STT_GR_0035,21,34.945,607,28.904761904761905
STT_GR_0036,10,27.983999999999998,452,45.2
