file_name,url,audio_duration,uni,inference_transcript,inference_checkpoint-19000
STT_GR_0033_0092_198048_to_200256,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0092_198048_to_200256.wav,2.208,དེ་ཡི་བཀའ་དྲིན་ངོས་བལྟས་ནས་དེ་ཅིག་སྐད་ཆ་བཤད་ད།  ,དེི་བཀའ་དྲེན་ང་དེ་ལ་དེ་ཅིག་སྐད་ཆ་བཤད་ལ།  ,འདིའི་བཀའ་དྲིན་ལ་བརྟེན་ནས་འདིས་གཅིག་སྐད་ཆ་བཤད་ན་
STT_GR_0033_0046_97724_to_100284,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0046_97724_to_100284.wav,2.56,ཨེ་ནི་རང་གིས་ཤེས་ལ་མ་ཤེས་པའི་ཞེ་ཐག་པ་ལ་བརྟེན་ནས་ ,དེ་རིང་རང་གིས་ཤི་ནང་མ་ཤེས་པ་ ཁེད་ཐག་པ་ལ་འདི་རིང།  ,དེ་ནས་རང་གིས་ཤེས་ལ་མ་ཤེས་པའི་རྗེས་སུ་ཐག་པ་ལ་དེ་ནས་
STT_GR_0033_0066_139452_to_141948,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0066_139452_to_141948.wav,2.496,བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་ནང་ལ་ཚིག་གཅིག་རེད་ལབ་ཀྱི་རེད་བ། ,གཟམ་བ་བཅུག་པ་སྨུན་ལམ་ལབ་ནས་ཚེག་རྒྱག་དེ་ཟ་ལ།  ,བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་ལས་ཚིག་གཅིག་ཅིག་ཨེ་ཐུབ་ལ་
STT_GR_0033_0036_77596_to_79868,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0036_77596_to_79868.wav,2.272,སླེབ་སླེབས་རེད། སང་ནང་ཆོས་ཚོགས་ཐམས་ཅད་ལ་ཁག་པོ་ཡོད་རེད། ,རེ་ན། སོ་སོ་ཇུས་ཚོགས་ཚམས་ཆད་ར་ཁག་པ་ཡོད་རེད།  ,ཕྱི་ལོགས་ཆོས་ཚོགས་ཐམས་ཅད་ལ་ཁག་པོ་ཡོད་རེད།
STT_GR_0033_0044_92476_to_95068,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0044_92476_to_95068.wav,2.592,དེ་རིང་ཁོ་ཚོ་ཐམས་ཅད་དེ་ཡར་ལ་བུས་བབས་གནང་ཡ་ཡོད་མ་རེད།,དེ་རིང་ཁོ་སོག་ཚབ་ཆས་དེ་ཡག་དེ་ཕུལ་པ་གང་ཡང་ཡོད་མ་རེད།  ,དེ་ཁོ་ཚོ་ཐམས་ཅད་དེ་བཞག་བསྡད་ཕན་པ་གང་ཡང་ཡོད་མ་རེད
STT_GR_0033_0016_40092_to_42492,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0016_40092_to_42492.wav,2.4,ད་དེ་དུས་སུ་སྲོག་རིང་པོ་ཡོང་གི་ཡོད་རེད་ཁོང་ཚོ།,ད་དེ་འདྲའ་ཟེ་དྲུག་རིག་པོ་ཡང་ཉོས་རེད། ག་རེ་ཟ།  ,ད་དེ་དུས་དུས་ཚོད་རིང་པོ་ཡང་ཡོད་རེད་ཁོ་ཚོ་
STT_GR_0018_0011_35096_to_36120,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0018_0011_35096_to_36120.wav,1.024,དེ་རིང་ལྷག་པར་དུ་དེ་ནས་  ,དེ་རིང་ལྷག་པར་དུ་དེ་ནིད།  ,དེ་ནས་ལྷག་པར་དུ་དེ་ནས།
STT_GR_0018_0004_23479_to_24855,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0018_0004_23479_to_24855.wav,1.376,ཐེ་ཚོམ་འདྲ་མི་འདྲ་ཡང་ཡོད་རེད།  ,དེ་ཚོམ་འདྲ་མི་འདྲ་ཡོད་རེད།  ,ཐེ་ཚོམ། འདྲ་མི་འདྲ་ཡོད་རེད།
STT_GR_0018_0027_60184_to_61592,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0018_0027_60184_to_61592.wav,1.408,དེ་གས་ཀིས་ཞི་ལམ་བསམ་གྱིས་མི་ཁྱབ་པ།,དེ་གས་ཀི་བསོད་རམས་རྩ་བྡེན་པོའི་ཇ་པ།  ,དེ་གོས་ལ་བསོད་ནམས་སམ་གྱིས་མི་ཁྱབ་པ།
STT_GR_0033_0034_72924_to_75100,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_GR_0033_0034_72924_to_75100.wav,2.176,ང་གིས་རང་གི་བྱུང་འཛིན་པར་བརྒྱབ་བཞག་ལེ་ཐམས་ཅད་,ང་གི་རང་གིས་བྱུང་ཟིང་པར་རྒྱོག་ཡོད་རེད་ཐབ་བྱས།  ,ད་ལས་རང་གིས་མཛུང་མྙེན་པར་ཅུག་བཞག་ར་ཐམས་ཅད།
