| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0001_0019_192100_to_196200 | 44 | 4.10 | 0.409 | 0.341 | 0.386 | 0.364 |
| STT_GR_0001_0012_111300_to_114300 | 47 | 3.00 | 0.089 | 0.178 | 0.111 | 0.156 |
| STT_GR_0001_0011_106500_to_110900 | 48 | 4.40 | 0.261 | 0.239 | 0.196 | 0.174 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0002_0252_1057100_to_1058156 | 24 | 1.06 | 0.136 | 0.000 | 0.136 | 0.136 |
| STT_GR_0002_0094_350548_to_351988 | 24 | 1.44 | 0.227 | 0.091 | 0.136 | 0.091 |
| STT_GR_0002_0255_1062508_to_1063564 | 24 | 1.06 | 0.125 | 0.167 | 0.083 | 0.083 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0003_0208_1135460_to_1136804 | 32 | 1.34 | 0.387 | 0.516 | 0.452 | 0.484 |
| STT_GR_0003_0040_211400_to_214400 | 34 | 3.00 | 0.219 | 0.031 | 0.094 | 0.094 |
| STT_GR_0003_0107_505219_to_506820 | 34 | 1.60 | 0.182 | 0.273 | 0.242 | 0.242 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0004_0072_275556_to_276452 | 22 | 0.90 | 0.350 | 0.000 | 0.150 | 0.100 |
| STT_GR_0004_0021_98612_to_99796 | 26 | 1.18 | 0.208 | 0.083 | 0.083 | 0.083 |
| STT_GR_0004_0036_192200_to_194200 | 26 | 2.00 | 0.167 | 0.000 | 0.000 | 0.000 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0004_0074_278308_to_280164 | 32 | 1.86 | 0.312 | 0.125 | 0.125 | 0.125 |
| STT_GR_0004_0022_101620_to_103188 | 40 | 1.57 | 0.425 | 0.275 | 0.225 | 0.300 |
| STT_GR_0004_0064_260471_to_261848 | 34 | 1.38 | 0.294 | 0.441 | 0.265 | 0.324 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0006_0026_179216_to_180112 | 27 | 0.90 | 0.370 | 0.148 | 0.037 | 0.037 |
| STT_GR_0006_0083_414200_to_417000 | 25 | 2.80 | 0.174 | 0.304 | 0.304 | 0.304 |
| STT_GR_0006_0062_292824_to_294072 | 29 | 1.25 | 0.310 | 0.448 | 0.138 | 0.276 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0007_0091_373640_to_374888 | 31 | 1.25 | 0.207 | 0.138 | 0.103 | 0.069 |
| STT_GR_0007_0134_533744_to_535408 | 33 | 1.66 | 0.250 | 0.375 | 0.312 | 0.406 |
| STT_GR_0007_0099_415072_to_416832 | 32 | 1.76 | 0.250 | 0.250 | 0.219 | 0.219 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0008_0114_680060_to_681660 | 34 | 1.60 | 0.062 | 0.312 | 0.344 | 0.312 |
| STT_GR_0008_0051_354400_to_357200 | 39 | 2.80 | 0.282 | 0.308 | 0.308 | 0.308 |
| STT_GR_0008_0015_156920_to_158904 | 40 | 1.98 | 0.237 | 0.158 | 0.132 | 0.132 |
| File Name | Characters | Duration (s) | Base CER | CER 5000 | CER 10000 | CER 19000 |
|-----------|------------|-------------|----------|-----------|------------|------------|
| STT_GR_0009_0017_77416_to_78888 | 30 | 1.47 | 0.107 | 0.071 | 0.036 | 0.036 |
| STT_GR_0009_0073_342500_to_343556 | 29 | 1.06 | 0.074 | 0.296 | 0.296 | 0.185 |
